product_id;level1;level2;name
59272;Antistress and souvenirs;Antistress;"Игрушка ""Пучеглазик"""
9096;Antistress and souvenirs;Antistress;Игрушка змейка
2506;Antistress and souvenirs;Antistress;Игрушка лизун
15017;Antistress and souvenirs;Antistress;Игрушка Тянучка
823;Antistress and souvenirs;Antistress;Игрушка-антистресс
2283;Antistress and souvenirs;Antistress;Игрушка-слайм
48149;Antistress and souvenirs;Antistress;Прыгунчик
2149;Antistress and souvenirs;Antistress;"Фигурка ""Гусеница с глазами"""
7958;Antistress and souvenirs;Antistress;Фигурка Гусеница
12148;Antistress and souvenirs;Souvenirs;Мягкая игрушка
19005;Bags;Backpack;Набор: рюкзак, мешок для обуви, пенал 2 шт.
22351;Bags;Backpack;Рюкзак
15293;Bags;Backpack;Рюкзак с игрушкой
10381;Bags;Big bag;Пляжная сумка
12994;Bags;Big bag;Сумка
6477;Bags;BTS bag;Рюкзак
42905;Bags;Cosmetic bag;Косметичка
34233;Bags;Kids bag;Детская сумка
9691;Bags;Kids bag;Поясная сумка
17871;Bags;Medium bag;Маленькая сумка
4044;Bags;Medium bag;Мужская сумка
12124;Bags;Medium bag;Сумка
21715;Bags;Shoe bag;Сумка для обуви
3737;Bags;Small bag;Маленькая сумка
78364;Bags;Small bag;Мужская сумка
11923;Bags;Small bag;Поясная сумка
76778;Bags;Small bag;Сумка
482;Bags;Small bag;Сумка-клатч
20919;Bags;Sunglasses case;Чехол для очков
1272;Bags;Wallet;Визитница
31732;Bags;Wallet;Кошелек
72282;Bathroom;Bathroom towels;Бомбочка для ванной
13210;Bathroom;Bathroom towels;Мыло
245;Bathroom;Bathroom towels;Пена для ванны
11073;Bathroom;Bathroom utensils;Бомбочка для ванной
89297;Bathroom;Bathroom utensils;Держатель
8942;Bathroom;Bathroom utensils;Держатель для зубной щетки
44033;Bathroom;Bathroom utensils;Контейнер для ватных дисков
7091;Bathroom;Bathroom utensils;Мыльница
35531;Bathroom;Bathroom utensils;Насадка на кран
18125;Bathroom;Bathroom utensils;Органайзер для косметики
30352;Bathroom;Bathroom utensils;Подставка под зубные щетки
16680;Belts;Belt;Пояс
48590;Belts;Belt;Пояс-цепочка
20066;Belts;Belt;Ремень
31561;Belts;Braces;Подтяжки
6297;Bijou;Bijou mix;Колье-чокер, 2 шт.
24261;Bijou;Bijou mix;Набор бижутерии, 4шт
39181;Bijou;Bijou mix;Набор шейных украшений 2 шт
9746;Bijou;Bijou mix;Набор: бусы+браслет
7140;Bijou;Bijou mix;Набор: бусы+серьги
30792;Bijou;Bracelet;Браслет
5980;Bijou;Bracelet;Набор бижутерии 2шт
2002;Bijou;Bracelet;Набор браслетов 15 шт.
10711;Bijou;Bracelet;Набор браслетов, 10 шт.
4100;Bijou;Bracelet;Набор браслетов, 2 шт.
92117;Bijou;Bracelet;Набор браслетов, 3 шт.
42250;Bijou;Bracelet;Набор браслетов, 4 шт.
5216;Bijou;Bracelet;Набор браслетов, 5 шт.
12874;Bijou;Bracelet;Набор браслетов, 9 шт.
10321;Bijou;Bracelet;Набор колец, 5 штук
15891;Bijou;Earrings;Набор серёг
6561;Bijou;Earrings;Набор серёг, 10 штук
22507;Bijou;Earrings;Набор серёг, 2 пар
7599;Bijou;Earrings;Набор серёг, 3 пары
1239;Bijou;Earrings;Набор серёг, 3 штуки
7106;Bijou;Earrings;Набор серёг, 4 пар
17772;Bijou;Earrings;Набор серёг, 4 шт.
13201;Bijou;Earrings;Набор серёг, 5 пар
14211;Bijou;Earrings;Набор серёг, 5 шт.
44567;Bijou;Earrings;Набор серёг, 6 пар
9451;Bijou;Earrings;Набор серёг, 7 штук
6417;Bijou;Earrings;Набор серёг, 9 пар
778;Bijou;Earrings;Серьги
24202;Bijou;Earrings;(пусто)
21907;Bijou;Necklace;Бусы
28933;Bijou;Necklace;Длинное шейное украшение
83044;Bijou;Necklace;Колье
16629;Bijou;Necklace;Колье чокер с кулоном
76592;Bijou;Necklace;Колье-чокер
87628;Bijou;Necklace;Колье-чокер, 2 шт.
20139;Bijou;Necklace;Кулон на цепи
